"well_id","structure_id","slab_num","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z","corrected_mni_x","corrected_mni_y","corrected_mni_z","sampleID","probe2label","probe2dist"
10964,4023,2,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",1266467,96,55,47,-5,44,54,-4.45691307856205,42.6263088370246,53.3064730688899,"H0351_1009",192,0
10965,4039,2,"CX","trIFG","inferior frontal gyrus, triangular part, left",1266555,128,113,44,-37,47,-4,-37.0144833872121,42.9188671115774,-0.30171748771755,"H0351_1009",206,1
10966,4051,3,"CX","MOrG","medial orbital gyrus, left",1265851,100,137,59,-9,32,-28,-9.5355263402859,30.0154300868736,-24.2762037300316,"H0351_1009",148,0
10972,4224,2,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",1266689,96,110,46,-5,45,-1,-5.4459859063368,42.2771371796677,1.58166319060298,"H0351_1009",102,0
10973,4024,3,"CX","SFG-l","superior frontal gyrus, left, lateral bank of gyrus",1265853,114,63,62,-23,29,46,-18.8556295260612,25.5691781879841,43.817038326349,"H0351_1009",192,1.41421353816986
10980,4024,2,"CX","SFG-l","superior frontal gyrus, left, lateral bank of gyrus",1266482,115,58,47,-24,44,51,-22.2582307533378,40.7455196007181,49.9008384933754,"H0351_1009",192,0
10981,4023,3,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",1265788,94,62,63,-3,28,47,-0.9181856478594,27.8141323806075,48.3047509453152,"H0351_1009",194,2
10988,4030,2,"CX","MFG-s","middle frontal gyrus, left, superior bank of gyrus",1266483,133,69,46,-42,45,40,-40.1189266841061,40.2198518543496,39.6656920480126,"H0351_1009",144,1.41421353816986
10989,4223,3,"CX","CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",1265789,94,74,63,-3,28,35,-2.78651666733493,30.0307952577974,32.7358166217562,"H0351_1009",154,0
10996,4048,2,"CX","GRe","gyrus rectus, left",1266592,96,138,44,-5,47,-29,-5.62572484870619,44.095242769291,-26.0001106636681,"H0351_1009",126,0
10997,4224,3,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",1265790,95,92,63,-4,28,17,-2.54672895492558,27.6959474493683,17.2774100574726,"H0351_1009",102,0
11004,4051,2,"CX","MOrG","medial orbital gyrus, left",1266591,113,126,44,-22,47,-17,-22.1375212140839,43.28476086552,-13.3143446142733,"H0351_1009",148,1
11005,4030,3,"CX","MFG-s","middle frontal gyrus, left, superior bank of gyrus",1265864,132,57,62,-41,29,52,-39.1224891784421,24.0972843888854,50.5102322196299,"H0351_1009",144,0
11012,4060,2,"CX","LOrG","lateral orbital gyrus, left",1266590,117,125,44,-26,47,-16,-26.1154483566561,43.1514050471172,-12.259438715825,"H0351_1009",106,0
11013,4031,3,"CX","MFG-i","middle frontal gyrus, left, inferior bank of gyrus",1265869,141,72,61,-50,30,37,-48.1734078403127,24.5967655971329,37.0137105545473,"H0351_1009",144,1
11020,4224,2,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",1266588,96,127,45,-5,46,-18,-5.47955670822894,42.8112420321026,-14.4798492418595,"H0351_1009",142,0
11021,4039,3,"CX","trIFG","inferior frontal gyrus, triangular part, left",1265974,146,99,59,-55,32,10,-55.4402977797171,27.7225617744232,11.6264976241562,"H0351_1009",164,1
11028,4048,2,"CX","GRe","gyrus rectus, left",1266593,97,136,44,-6,47,-27,-6.57267527432489,44.0283966078032,-23.8994596725324,"H0351_1009",126,0
11036,4031,2,"CX","MFG-i","middle frontal gyrus, left, inferior bank of gyrus",1266554,139,96,45,-48,46,13,-48.0453485812754,41.4215236226357,14.8274199318346,"H0351_1009",206,0
11044,4039,2,"CX","trIFG","inferior frontal gyrus, triangular part, left",1266553,131,113,44,-40,47,-4,-40.0439205602451,42.8029048550166,-0.534060487672537,"H0351_1009",206,0
11045,4048,3,"CX","GRe","gyrus rectus, left",1265849,99,134,59,-8,32,-25,-8.51539926287358,30.0916421192239,-21.0063192779129,"H0351_1009",126,0
11052,4045,2,"CX","orIFG","inferior frontal gyrus, orbital part, left",1266552,132,126,44,-41,47,-17,-41.0975609016447,42.6916153453531,-13.7301320736577,"H0351_1009",138,1
11053,4051,3,"CX","MOrG","medial orbital gyrus, left",1265850,102,133,59,-11,32,-24,-11.4600763624019,29.9536497462197,-19.9243387221302,"H0351_1009",148,0
11060,4224,2,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",1266588,95,127,45,-4,46,-18,-4.5334740877318,42.8528110373948,-14.494240082185,"H0351_1009",142,0
11061,4903,4,"CX","TP-s","temporal pole, left, superior aspect",1270351,123,136,75,-32,16,-27,-32.6811070499904,14.2560163915823,-23.4740685795777,"H0351_1009",180,2.82842707633972
11063,4186,11,"CX","Cun-pest","cuneus, left, peristriate",1270320,113,89,159,-22,-68,20,-16.0233784113092,-72.5015268635517,16.5694980006362,"H0351_1009",116,1
11064,4098,10,"CX","SPL-s","superior parietal lobule, left, superior bank of gyrus",1270103,100,43,146,-9,-55,66,-10.3772572100729,-56.0759382400434,69.8151154724771,"H0351_1009",200,0
11065,4114,10,"CX","AnG-i","angular gyrus, left, inferior bank of gyrus",1270208,146,80,148,-55,-57,29,-50.7494921361828,-60.1190288782223,26.8155223117929,"H0351_1009",108,0
11068,4224,3,"CX","CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",1265790,96,92,63,-5,28,17,-3.5001461276165,27.3800401236763,17.4592531564813,"H0351_1009",102,0
11069,4904,4,"CX","TP-i","temporal pole, left, inferior aspect",1270353,137,149,75,-46,16,-40,-45.9154103147882,12.6681354551186,-37.2490396136617,"H0351_1009",204,0
11070,4079,5,"CX","fro","frontal operculum, left",1270924,136,101,88,-45,3,8,-42.4103865297133,-4.60334150054768,12.4773676562487,"H0351_1009",114,1
11071,4187,11,"CX","Cun-str","cuneus, left, striate",1270322,109,95,159,-18,-68,14,-13.6354733538495,-70.655394317834,12.6628986279768,"H0351_1009",110,1
11072,4120,10,"CX","Pcu-s","precuneus, left, superior lateral bank of gyrus",1270788,97,60,146,-6,-55,49,-7.81292519039986,-59.2155673697406,53.0633166068635,"H0351_1009",170,0
11073,4149,10,"CX","ITG-its","inferior temporal gyrus, left, bank of the its",1270261,143,119,147,-52,-56,-10,-49.684302574935,-58.4119553757499,-5.1813195956803,"H0351_1009",134,0
11076,4045,3,"CX","orIFG","inferior frontal gyrus, orbital part, left",1265975,141,119,58,-50,33,-10,-50.1412509175571,28.9975657322289,-6.80289233567529,"H0351_1009",166,0
11077,4905,4,"CX","TP-m","temporal pole, left, medial aspect",1270352,119,152,75,-28,16,-43,-28.2377150651002,13.4541380003358,-40.2049453480134,"H0351_1009",204,0
11078,4273,5,"CX","SIG","short insular gyri, left",1270923,135,106,88,-44,3,3,-43.5576731692417,-2.33033112568406,5.75082021982686,"H0351_1009",104,1
11079,4193,11,"CX","LiG-pest","lingual gyrus, left, peristriate",1270887,110,103,160,-19,-69,6,-14.9239892965778,-73.0081208563672,3.43007256710534,"H0351_1009",110,2
11080,4121,10,"CX","Pcu-i","precuneus, left, inferior lateral bank of gyrus",1270789,102,75,146,-11,-55,34,-9.3057398103789,-62.041157933447,32.5195687673205,"H0351_1009",170,1.41421353816986
11081,4200,10,"CX","OTG-s","occipito-temporal gyrus, left, superior bank of gyrus",1270764,142,123,147,-51,-56,-14,-48.5430166305521,-58.362416530108,-9.23611483666779,"H0351_1009",134,0
11084,4024,2,"CX","SFG-l","superior frontal gyrus, left, lateral bank of gyrus",1266482,116,58,47,-25,44,51,-23.1532711466133,40.6148983499694,49.9207732563398,"H0351_1009",192,1
11085,4023,5,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",1270807,94,48,87,-3,4,61,-1.18727125244503,-0.731669615399984,67.408053387802,"H0351_1009",194,1
11086,4079,5,"CX","fro","frontal operculum, left",1270929,134,99,88,-43,3,10,-39.990017608222,-4.06167157241725,13.8082210578916,"H0351_1009",104,0
11087,4194,11,"CX","LiG-str","lingual gyrus, left, striate",1270325,100,110,160,-9,-69,-1,-7.98103797548078,-72.4263249774365,-4.98786427355036,"H0351_1009",136,0
11088,4230,10,"CX","CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",1270784,96,73,146,-5,-55,36,-4.4692966539996,-64.605373377657,37.6874894174377,"H0351_1009",170,0
11092,4030,2,"CX","MFG-s","middle frontal gyrus, left, superior bank of gyrus",1266483,132,69,46,-41,45,40,-39.0743872977095,40.2635298864023,39.6304959488745,"H0351_1009",144,1
11095,4186,11,"CX","Cun-pest","cuneus, left, peristriate",1270321,112,88,159,-21,-68,21,-15.3706328558968,-72.8880489414267,17.0707471625362,"H0351_1009",116,1.41421353816986
