,well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,corrected_mni_x,corrected_mni_y,corrected_mni_z,sampleID,probe2label,probe2dist
0,10964,4023,2,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",1266467,96,55,47,-5.0,44.0,54.0,-4.456913078562049,42.6263088370246,53.30647306888989,H0351_1009,192,0.0
1,10965,4039,2,CX,trIFG,"inferior frontal gyrus, triangular part, left",1266555,128,113,44,-37.0,47.0,-4.0,-37.0144833872121,42.9188671115774,-0.30171748771754997,H0351_1009,206,1.0
2,10966,4051,3,CX,MOrG,"medial orbital gyrus, left",1265851,100,137,59,-9.0,32.0,-28.0,-9.535526340285902,30.015430086873604,-24.2762037300316,H0351_1009,148,0.0
3,10972,4224,2,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1266689,96,110,46,-5.0,45.0,-1.0,-5.4459859063368,42.277137179667704,1.5816631906029799,H0351_1009,102,0.0
4,10973,4024,3,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",1265853,114,63,62,-23.0,29.0,46.0,-18.8556295260612,25.5691781879841,43.817038326349,H0351_1009,192,1.4142135381698602
5,10980,4024,2,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",1266482,115,58,47,-24.0,44.0,51.0,-22.258230753337802,40.745519600718104,49.900838493375396,H0351_1009,192,0.0
6,10981,4023,3,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",1265788,94,62,63,-3.0,28.0,47.0,-0.9181856478594,27.8141323806075,48.3047509453152,H0351_1009,194,2.0
7,10988,4030,2,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",1266483,133,69,46,-42.0,45.0,40.0,-40.1189266841061,40.219851854349606,39.6656920480126,H0351_1009,144,1.4142135381698602
8,10989,4223,3,CX,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",1265789,94,74,63,-3.0,28.0,35.0,-2.78651666733493,30.030795257797397,32.7358166217562,H0351_1009,154,0.0
9,10996,4048,2,CX,GRe,"gyrus rectus, left",1266592,96,138,44,-5.0,47.0,-29.0,-5.625724848706191,44.095242769291,-26.000110663668103,H0351_1009,126,0.0
10,10997,4224,3,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1265790,95,92,63,-4.0,28.0,17.0,-2.54672895492558,27.6959474493683,17.277410057472597,H0351_1009,102,0.0
11,11004,4051,2,CX,MOrG,"medial orbital gyrus, left",1266591,113,126,44,-22.0,47.0,-17.0,-22.1375212140839,43.28476086552,-13.3143446142733,H0351_1009,148,1.0
12,11005,4030,3,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",1265864,132,57,62,-41.0,29.0,52.0,-39.1224891784421,24.0972843888854,50.5102322196299,H0351_1009,144,0.0
13,11012,4060,2,CX,LOrG,"lateral orbital gyrus, left",1266590,117,125,44,-26.0,47.0,-16.0,-26.115448356656103,43.1514050471172,-12.259438715825,H0351_1009,106,0.0
14,11013,4031,3,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",1265869,141,72,61,-50.0,30.0,37.0,-48.1734078403127,24.596765597132897,37.013710554547295,H0351_1009,144,1.0
15,11020,4224,2,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1266588,96,127,45,-5.0,46.0,-18.0,-5.479556708228941,42.811242032102605,-14.479849241859501,H0351_1009,142,0.0
16,11021,4039,3,CX,trIFG,"inferior frontal gyrus, triangular part, left",1265974,146,99,59,-55.0,32.0,10.0,-55.4402977797171,27.7225617744232,11.6264976241562,H0351_1009,164,1.0
17,11028,4048,2,CX,GRe,"gyrus rectus, left",1266593,97,136,44,-6.0,47.0,-27.0,-6.572675274324889,44.0283966078032,-23.899459672532398,H0351_1009,126,0.0
18,11036,4031,2,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",1266554,139,96,45,-48.0,46.0,13.0,-48.0453485812754,41.4215236226357,14.8274199318346,H0351_1009,206,0.0
19,11044,4039,2,CX,trIFG,"inferior frontal gyrus, triangular part, left",1266553,131,113,44,-40.0,47.0,-4.0,-40.043920560245105,42.80290485501661,-0.534060487672537,H0351_1009,206,0.0
20,11045,4048,3,CX,GRe,"gyrus rectus, left",1265849,99,134,59,-8.0,32.0,-25.0,-8.515399262873581,30.0916421192239,-21.006319277912898,H0351_1009,126,0.0
21,11052,4045,2,CX,orIFG,"inferior frontal gyrus, orbital part, left",1266552,132,126,44,-41.0,47.0,-17.0,-41.097560901644705,42.6916153453531,-13.730132073657698,H0351_1009,138,1.0
22,11053,4051,3,CX,MOrG,"medial orbital gyrus, left",1265850,102,133,59,-11.0,32.0,-24.0,-11.4600763624019,29.953649746219696,-19.924338722130198,H0351_1009,148,0.0
23,11060,4224,2,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1266588,95,127,45,-4.0,46.0,-18.0,-4.5334740877318005,42.852811037394794,-14.494240082185,H0351_1009,142,0.0
24,11061,4903,4,CX,TP-s,"temporal pole, left, superior aspect",1270351,123,136,75,-32.0,16.0,-27.0,-32.681107049990395,14.256016391582301,-23.4740685795777,H0351_1009,180,2.8284270763397203
25,11063,4186,11,CX,Cun-pest,"cuneus, left, peristriate",1270320,113,89,159,-22.0,-68.0,20.0,-16.0233784113092,-72.5015268635517,16.569498000636198,H0351_1009,116,1.0
