probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,Genes
1058685,A_23_P20713,729,C8G,"complement component 8, gamma polypeptide",733.0,9,C8G 
1058682,A_23_P138819,736,MRPL49,mitochondrial ribosomal protein L49,740.0,11,MRPL49 MRPL49 MRPL49 
1058681,A_24_P232500,736,MRPL49,mitochondrial ribosomal protein L49,740.0,11,MRPL49 MRPL49 MRPL49 
1058680,A_24_P201491,736,MRPL49,mitochondrial ribosomal protein L49,740.0,11,MRPL49 MRPL49 MRPL49 
1058679,CUST_1334_PI416261804,737,ZNHIT2,"zinc finger, HIT-type containing 2",741.0,11,ZNHIT2 
1058678,A_23_P329286,737,ZNHIT2,"zinc finger, HIT-type containing 2",741.0,11,ZNHIT2 
1058677,A_23_P52888,740,MPPED2,metallophosphoesterase domain containing 2,744.0,11,MPPED2 
1058676,CUST_6483_PI416261804,741,C11orf9,chromosome 11 open reading frame 9,745.0,11,MYRF MYRF 
1058675,A_23_P75790,741,C11orf9,chromosome 11 open reading frame 9,745.0,11,MYRF MYRF 
1058674,CUST_5997_PI416261804,742,C11orf10,chromosome 11 open reading frame 10,746.0,11,TMEM258 
1058673,A_23_P47527,742,C11orf10,chromosome 11 open reading frame 10,746.0,11,TMEM258 
1058672,CUST_7076_PI416261804,743,DAGLA,"diacylglycerol lipase, alpha",747.0,11,DAGLA 
1058671,A_24_P115967,743,DAGLA,"diacylglycerol lipase, alpha",747.0,11,DAGLA 
1058669,A_23_P344515,746,C16orf3,chromosome 16 open reading frame 3,750.0,16,C16orf3 
1058668,CUST_1069_PI416261804,748,FMNL1,formin-like 1,752.0,17,FMNL1 
1058667,A_24_P390668,748,FMNL1,formin-like 1,752.0,17,FMNL1 
1058666,A_24_P391260,750,PTTG1IP,pituitary tumor-transforming 1 interacting protein,754.0,21,PTTG1IP 
1058665,A_23_P109345,750,PTTG1IP,pituitary tumor-transforming 1 interacting protein,754.0,21,PTTG1IP 
1058664,CUST_6217_PI416261804,751,C21orf2,chromosome 21 open reading frame 2,755.0,21,C21orf2 C21orf2 C21orf2 
1058663,A_23_P211167,751,C21orf2,chromosome 21 open reading frame 2,755.0,21,C21orf2 C21orf2 C21orf2 C21orf2 
1058662,A_23_P57304,753,TMEM50B,transmembrane protein 50B,757.0,21,TMEM50B TMEM50B 
1058661,A_24_P305623,753,TMEM50B,transmembrane protein 50B,757.0,21,TMEM50B TMEM50B 
1058659,A_24_P23995,755,CA1,carbonic anhydrase I,759.0,8,RNF187 
1058658,CUST_8275_PI416261804,755,CA1,carbonic anhydrase I,759.0,8,RNF187 
1058657,CUST_16131_PI416261804,756,CA2,carbonic anhydrase II,760.0,8,CA2 
1058656,A_23_P8913,756,CA2,carbonic anhydrase II,760.0,8,CA2 
1058653,CUST_348_PI417507815,758,CA4,carbonic anhydrase IV,762.0,17,CA4 
1058553,A_23_P117363,862,SERPINA6,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6",866.0,14,SERPINA6 
1058552,A_23_P339191,863,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",867.0,11,CBL 
1058551,A_23_P53226,863,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",867.0,11,CBL 
