A_23_P100001	FAM174B 
A_23_P100011	AP3S2 C15orf38-AP3S2 AP3S2 AP3S2 
A_23_P100022	SV2B SV2B 
A_23_P100056	RBPMS2 
A_23_P100074	AVEN 
A_23_P100092	ZSCAN29 
A_23_P100103	VPS39 
A_23_P100111	CHP1 
A_23_P100127	CASC5 CASC5 
A_23_P100133	ATMIN 
A_23_P100141	UNKL UNKL UNKL 
A_23_P100156	TMEM127 TMEM127 
A_23_P100177	MMP15 
A_23_P100189	PRM1 
A_23_P100196	USP10 USP10 USP10 USP10 
A_23_P100203	HSBP1 
A_23_P100220	ESRP2 
A_23_P100240	CDH16 CDH16 CDH16 CDH16 
A_23_P10025	NELL2 NELL2 NELL2 NELL2 NELL2 
A_23_P100263	CMIP CMIP 
A_23_P100278	GRIN2A GRIN2A GRIN2A 
A_23_P100292	ZNF598 
A_23_P100315	DECR2 
A_23_P100326	NPRL3 NPRL3 NPRL3 NPRL3 NPRL3 
A_23_P100341	ORC6 ORC6 
A_23_P100344	ORC6 ORC6 
A_23_P100355	PPP4C 
A_23_P100386	IL34 IL34 IL34 
A_23_P100392	TCEB2 TCEB2 
A_23_P100408	NTN3 
A_23_P100413	EXOSC6 
A_23_P100420	ZCCHC14 
A_23_P100441	FAM192A 
A_23_P100455	MTHFSD MTHFSD MTHFSD MTHFSD MTHFSD MTHFSD MTHFSD 
A_23_P100469	TXNL4B TXNL4B TXNL4B 
A_23_P100478	KAT8 KAT8 
A_23_P100486	VKORC1 VKORC1 
A_23_P100499	ROGDI ROGDI 
A_23_P100501	HMOX2 HMOX2 HMOX2 HMOX2 HMOX2 HMOX2 HMOX2 HMOX2 HMOX2 
A_23_P100517	TMEM170A 
A_23_P100539	ABCC6 
A_23_P100556	EXOC7 EXOC7 EXOC7 EXOC7 EXOC7 EXOC7 
A_23_P100576	PSMB3 
A_23_P100583	LPO LPO LPO 
A_23_P100595	FLCN
A_23_P100602	TBCD 
A_23_P10062	MGAT4C 
A_23_P100632	HN1 HN1 HN1 
A_23_P100642	PNMT PNMT 
A_23_P100654	ZBTB4 ZBTB4 
A_23_P100660	SERPINF1 
A_23_P100676	SMG6 SMG6 SMG6 SMG6 
A_23_P100693	HELZ 
A_23_P100704	MAPK7 MAPK7 MAPK7 MAPK7 
A_23_P100711	PMP22 PMP22 PMP22 PMP22 PMP22 PMP22 PMP22 
A_23_P100730	SKAP1 SKAP1 
A_23_P100754	SMURF2 
A_23_P100764	SLC25A39 SLC25A39 
A_23_P10077	PNPLA2 
A_23_P100779	UBTF UBTF UBTF UBTF 
A_23_P100788	STAT5B 
A_23_P100795	STAT3 STAT3 STAT3 
A_23_P100802	COA3 
A_23_P10081	ARL13B ARL13B ARL13B ARL13B ARL13B 
A_23_P100868	MYO19 
A_23_P100872	HOXB3 
A_23_P100883	SUZ12 
A_23_P10091	ALK
A_23_P100912	GIT1 GIT1 
A_23_P100931	AIPL1 AIPL1 AIPL1 AIPL1 AIPL1 AIPL1 AIPL1 
A_23_P100935	AIPL1 AIPL1 AIPL1 AIPL1 AIPL1 AIPL1 AIPL1 
A_23_P100959	ZFP3 
A_23_P100963	SPNS3 
A_23_P100990	KRT38 
A_23_P100991	KRT38 
A_23_P101007	NOTUM 
A_23_P101013	TMC6 TMC6 
A_23_P101025	LGALS9C 
A_23_P101038	KRTAP9-3 
A_23_P101048	KRTAP3-2 
A_23_P101054	KRT34 
A_23_P101073	OR1E1 
A_23_P101084	SPATA22 SPATA22 SPATA22 SPATA22 SPATA22 
A_23_P101093	COPZ2 
A_23_P101111	CTDP1 CTDP1 CTDP1 
A_23_P101121	KATNAL2
A_23_P101131	GRP GRP GRP 
A_23_P101141	RNF125 
A_23_P101185	NARS 
A_23_P101193	MYO5B 
A_23_P101208	CYB5A CYB5A CYB5A 
A_23_P10121	SFRP1 
A_23_P101237	C18orf21 C18orf21 C18orf21 
A_23_P101240	VSIG10L 
A_23_P101246	VSIG10L 
A_23_P101253	ZNF614 
A_23_P101258	ZNF614 
A_23_P10127	SFRP1 
A_23_P101272	ZNF446 
A_23_P101281	ZNF587 ZNF587 
A_23_P101297	EML2 EML2 EML2 EML2 
A_23_P101303	PPP1R37 
A_23_P101308	PPP1R37 
A_23_P101319	ZNF285 
A_23_P101321	ARHGEF1 ARHGEF1 ARHGEF1 
A_23_P101332	KRI1 
A_23_P101342	ATG4D ATG4D ATG4D ATG4D 
A_23_P10135	NKIRAS2 NKIRAS2 NKIRAS2 NKIRAS2 NKIRAS2 
A_23_P101351	ZNF426 
A_23_P101374	CYP2S1 
A_23_P101380	B3GNT8 
A_23_P101392	TMEM38A 
A_23_P1014	LINC00467 
A_23_P101407	C3 
A_23_P101427	EVI5L EVI5L 
A_23_P101434	NLRP12 NLRP12 NLRP12 
A_23_P101461	CCDC130 
A_23_P101476	ZNF442 
A_23_P101480	MAST1 
A_23_P101505	KLK11 KLK11 KLK11 KLK11 
A_23_P101516	KCNC3 
A_23_P101521	IZUMO2 
A_23_P101532	RPS11 
A_23_P101551	BCAT2 BCAT2 BCAT2 BCAT2 BCAT2 
A_23_P10156	CHMP6 
A_23_P101564	FGF21 
A_23_P101573	SPACA4 
A_23_P101615	ZNF565 ZNF565 
A_23_P101623	ZNF667 ZNF667 
A_23_P101636	KIR3DL2 KIR3DL2 
A_23_P101642	PTPRH PTPRH 
A_23_P101655	ACTN4 
A_23_P101671	ATCAY 
A_23_P101683	CLC 
A_23_P101699	HDGFRP2 HDGFRP2 
A_23_P101707	PLIN3 PLIN3 PLIN3 
A_23_P10172	PRSS50 
A_23_P101737	DOT1L 
A_23_P101742	MRPL54 
A_23_P101759	FUT5 
A_23_P101761	KISS1R 
A_23_P101774	SLC5A5 
A_23_P101783	IL12RB1 
A_23_P101796	SYDE1 
A_23_P101806	HPN HPN 
A_23_P101811	ZNF14 
A_23_P10182	ACOX2 
A_23_P101829	LPAR2 
A_23_P101871	FBXO17 FBXO17 FBXO17 
A_23_P101893	FBN3 
A_23_P101905	APC2 
A_23_P101908	APC2 
A_23_P10194	SEZ6L2 SEZ6L2 SEZ6L2 SEZ6L2 SEZ6L2 SEZ6L2 
A_23_P101943	ARL5A ARL5A ARL5A 
A_23_P101950	MDH1 MDH1 MDH1 
A_23_P101960	ZFP36L2 
A_23_P101972	CAPN13 
A_23_P101992	MARCO 
A_23_P102000	CXCR4 CXCR4 
A_23_P102017	ERMN ERMN 
A_23_P102037	COQ10B 
A_23_P102058	MATN3 
A_23_P10206	HAS2 
A_23_P102060	SSFA2 SSFA2 
A_23_P102083	BOLL BOLL BOLL BOLL BOLL 
A_23_P102109	TUBA4B 
A_23_P10211	SLC2A13 
A_23_P102113	WNT10A 
A_23_P102117	WNT10A 
A_23_P102122	ARPC2 ARPC2 
A_23_P102160	RMDN2 RMDN2 RMDN2 
A_23_P102172	CPO 
A_23_P102183	PNO1 
A_23_P102192	MAP4K4 MAP4K4 MAP4K4 MAP4K4 MAP4K4 
A_23_P102202	MSH6 MSH6 MSH6 MSH6 
A_23_P102235	SNRPG 
A_23_P102242	MARCH7 MARCH7 MARCH7 MARCH7 
A_23_P102258	MRPL53 
A_23_P102262	MRPL19 
A_23_P102278	DPP10 DPP10 DPP10 DPP10 DPP10 
A_23_P102286	LHCGR 
A_23_P10232	BANK1 BANK1 BANK1 
A_23_P102320	NUP35 
A_23_P102331	SCN7A SCN7A 
A_23_P102351	CHST10 
A_23_P102364	NGEF NGEF 
A_23_P102391	SLC40A1 
A_23_P102404	CCT7 CCT7 CCT7 CCT7 CCT7 CCT7 
A_23_P102412	PLEKHA3 
A_23_P102420	CCT4 CCT4 
A_23_P102439	ASTL 
A_23_P102454	INSIG2 
A_23_P102462	FBLN7 FBLN7 
A_23_P102471	MSH2 MSH2 
A_23_P102481	CTLA4 
A_23_P102494	SLC35F6 
A_23_P102508	SLC5A6 SLC5A6 
A_23_P102517	PDE6D 
A_23_P102523	SPTBN1 
A_23_P102542	AFTPH AFTPH AFTPH 
A_23_P102551	MALL 
A_23_P102571	SLC2A4RG 
A_23_P102575	SLC2A4RG 
A_23_P102582	C20orf24 C20orf24 TGIF2-C20orf24 C20orf24 C20orf24 
A_23_P102607	CHD6
A_23_P102611	WISP2 
A_23_P102622	MATN4 MATN4 MATN4 
A_23_P102634	WFDC6 
A_23_P102681	APCDD1L-AS1(dist=15693),STX16(dist=15609)
A_23_P102694	DEFB129 
A_23_P102706	SNPH 
A_23_P102731	SMOX SMOX SMOX SMOX SMOX 
A_23_P102743	TRMT6 TRMT6 
A_23_P102759	BTBD3 BTBD3 BTBD3 BTBD3 BTBD3 BTBD3 
A_23_P102769	MGME1 
A_23_P102770	NAA20 NAA20 NAA20 
A_23_P102816	TM9SF4(dist=19913),TSPY26P(dist=1916)
A_23_P102832	CEP250 
A_23_P102842	NFS1 NFS1 NFS1 
A_23_P102864	TMPRSS15 
A_23_P102876	CCT8 CCT8 CCT8 CCT8 
A_23_P102884	SYNJ1 SYNJ1 SYNJ1 SYNJ1 
A_23_P102890	MRPS6 
A_23_P1029	MFAP2 MFAP2 MFAP2 MFAP2 
A_23_P10291	CTSE CTSE 
A_23_P102917	B3GALT5 B3GALT5 B3GALT5 B3GALT5 B3GALT5 
A_23_P102919	B3GALT5 B3GALT5 B3GALT5 B3GALT5 B3GALT5 
A_23_P102925	PWP2 
A_23_P102937	SUMO3 SUMO3 
A_23_P102950	RSPH1 RSPH1 
A_23_P102965	BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 BCL2L13 
A_23_P102973	DGCR14 
A_23_P102988	TXNRD2 
A_23_P102994	PI4KA PI4KA 
A_23_P103011	RAB36 
A_23_P103034	CRYBA4 
A_23_P103041	GAS2L1 GAS2L1 GAS2L1 
A_23_P10305	CTPS2 CTPS2 CTPS2 
A_23_P103062	RNF185 RNF185 RNF185 RNF185 RNF185 RNF185 
A_23_P103070	YWHAH 
A_23_P103084	TOM1 TOM1 TOM1 TOM1 TOM1 TOM1 
A_23_P103099	RBFOX2 RBFOX2 RBFOX2 RBFOX2 RBFOX2 RBFOX2 
A_23_P103104	MFNG MFNG MFNG 
A_23_P103110	MAFF MAFF MAFF MAFF 
A_23_P103120	GTPBP1 
A_23_P103131	MIEF1 
A_23_P103149	ACO2 
A_23_P103172	TYW3 TYW3 TYW3 
A_23_P103180	TYW3 TYW3 TYW3 
A_23_P103201	PNRC2 
A_23_P103226	FAAH 
A_23_P103232	DUSP23 
A_23_P103248	PIGM 
A_23_P103256	CFHR3 CFHR3 
A_23_P103269	FAF1
A_23_P103276	KTI12 TXNDC12 TXNDC12 
A_23_P103282	TMEM59 
A_23_P103310	S100A7 
A_23_P103315	LCE1A 
A_23_P103328	PTGER3 PTGER3 PTGER3 PTGER3 PTGER3 PTGER3 
A_23_P103334	RC3H1 
A_23_P103349	OCLM 
A_23_P103361	LCK LCK 
A_23_P103371	ADC 
A_23_P103398	PSEN2 PSEN2 
A_23_P103405	WDR26(dist=25171),CNIH3(dist=156948)
A_23_P103414	YTHDF2 YTHDF2 YTHDF2 
A_23_P103424	RGS8 RGS8 
A_23_P103433	OSCP1 
A_23_P103442	MEAF6 MEAF6 MEAF6 MEAF6 MEAF6 MEAF6 
A_23_P103454	NBPF8 LOC101929780 NBPF12 LOC100288142 LOC101929780 NBPF9 NBPF14 NBPF8 NBPF9 NBPF16 NBPF15 NBPF15 LOC101929780 NBPF9 NBPF8 NBPF24 NBPF24 NBPF11 NBPF24 NBPF11 NBPF24 NBPF3 NBPF3 NBPF3 NBPF3 NBPF1 NBPF16 
A_23_P103465	PLA2G5 
A_23_P103476	UBIAD1 
A_23_P103486	CYP2J2 
A_23_P103496	GBP4 
A_23_P103503	MDM4 MDM4 MDM4 MDM4 MDM4 MDM4 MDM4 
A_23_P103511	C1orf226 
A_23_P103522	SELL SELL 
A_23_P103532	GPR161 GPR161 GPR161 GPR161 GPR161 GPR161 GPR161 
A_23_P10356	ADAM28 
A_23_P103561	NAV1 NAV1 
A_23_P103571	MAN1A2 
A_23_P103588	HMGCS2 HMGCS2 
A_23_P103601	MAN1C1 
A_23_P103617	ANXA9 
A_23_P103628	HEATR1 
A_23_P103631	EBNA1BP2 EBNA1BP2 
A_23_P103661	YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 YY1AP1 
A_23_P103672	NES 
A_23_P103690	FAM189B FAM189B FAM189B 
A_23_P103698	LAMTOR2 
A_23_P103703	HSPB7 
A_23_P103720	AGMAT 
A_23_P10374	R3HDM2 
A_23_P103743	RBM15
A_23_P103756	OVGP1 
A_23_P103765	FCER1A 
A_23_P103775	LRRC8C 
A_23_P103787	HIPK1 HIPK1 HIPK1 
A_23_P103795	VANGL1 VANGL1 VANGL1 
A_23_P1038	KDM5B 
A_23_P103803	FCRL3 
A_23_P103812	BRINP3 
A_23_P103824	PI4KB PI4KB PI4KB PI4KB 
A_23_P103837	UBAP2L 
A_23_P10385	DTL DTL DTL 
A_23_P103864	TTC13 TTC13 
A_23_P103877	LRRC38 
A_23_P103885	AURKAIP1 AURKAIP1 AURKAIP1 
A_23_P103897	GNG5(dist=37647),CTBS(dist=8836)
A_23_P103905	UFC1 
A_23_P10391	COL5A2 
A_23_P103919	B4GALT3 B4GALT3 B4GALT3 
A_23_P103923	FAM20B 
A_23_P103932	FGR FGR FGR 
A_23_P103942	DNAJC11 
A_23_P103968	AKR7A3 
A_23_P103971	CYP4Z1 
A_23_P103996	GCLM 
A_23_P10401	PPP2R3A PPP2R3A PPP2R3A 
A_23_P104012	GNAT2
A_23_P104022	TSEN15 TSEN15 TSEN15 
A_23_P104025	TSEN15 TSEN15 TSEN15 
A_23_P104046	BPNT1 BPNT1 BPNT1 BPNT1 
A_23_P104054	SUCO SUCO SUCO SUCO 
A_23_P104065	ICMT 
A_23_P104073	S100A3 
A_23_P104086	CROCC 
A_23_P104098	SYT2 SYT2 
A_23_P104109	RPS6KC1 RPS6KC1 
A_23_P104116	RBM8A 
A_23_P104138	ZNF678 ZNF678 
A_23_P104146	ZMYM4 
A_23_P104151	TMEM69 
A_23_P104188	ELF3 ELF3 
A_23_P104193	ITGB1 ITGB1 ITGB1 
A_23_P104199	ITGB1 ITGB1 ITGB1 
A_23_P104201	YME1L1 YME1L1 YME1L1 
A_23_P104224	A1CF A1CF A1CF A1CF A1CF A1CF 
A_23_P104237	GPAM GPAM 
A_23_P104252	ITIH5 ITIH5 
A_23_P104275	SLC16A12 
A_23_P104282	FAM178A 
A_23_P104295	FBXW4 
A_23_P1043	C1orf106 C1orf106 
A_23_P104318	DDIT4 
A_23_P104323	MGMT 
A_23_P104335	FAM13C
A_23_P104346	PIP4K2A 
A_23_P104351	FAM45B FAM45B FAM45A 
A_23_P104362	ECHS1 
A_23_P104372	DNAJC9 
A_23_P104387	GHITM 
A_23_P104413	DUX4L6 DUX4L4 DUX4L6 DUX4L2 DUX4 DUX2 DUX4L5 DUX4L3 DUX4L3 DUX4L5 DUX4 DUX4L7 LOC100653046 DUX2 DUX4L2 DUX4L DUX4L5 DUX4L2 LOC100653046 DUX4 DUX4L4 DUX4L3 DUX4L6 
A_23_P10442	OSBPL1A OSBPL1A OSBPL1A 
A_23_P104438	MYPN MYPN MYPN MYPN MYPN 
A_23_P104445	PIK3AP1 
